GName	ShNam	HMDB	KEGG	PC	Chebi	Mesh	FinalClass	Class	Class2	Class	FinalClass	
"Nicotinic acid"	Nicotinate	HMDB01488	C00253	938	chebiId:15940	68009525	"Cofactors and vitamins"	"Cofactors and vitamins"	"Nicotinate and nicotinamide metabolism"	Unclassified	"Cofactors and vitamins"	Unclassified
"Pantothenic acid"	Pantothenate	HMDB00210	C00864	6613	chebiId:46905	68010205	"Cofactors and vitamins"	"Cofactors and vitamins"	"Pantothenate and CoA metabolism"	"Amino acids"	"Cofactors and vitamins"	"Amino acids"
"Threonic acid"	Threonate	HMDB00943	C01620	151152	chebiId:49060	67011369	"Cofactors and vitamins"	"Cofactors and vitamins"	"Ascorbate and aldarate metabolism"	Carbohydrates	"Cofactors and vitamins"	Carbohydrates
"2-hydroxyglutaric acid"	2-OHGlutarate	HMDB00606;HMDB59655	C02630;C01087	43	chebiId:17084	67019417	Energy	Lipid	"Fatty acid; dicarboxylate"	"Organic acids"	Energy	"Organic acids"
"2-oxoglutaric acid"	2-oxoglutarate	HMDB00208	C00026	51	chebiId:30915	67029743	Energy		"Krebs cycle"	"Organic acids"	Energy	"Organic acids"
"3-hydroxybutyric acid"	3-OHButyrate	HMDB00357	C01089	441	chebiId:20067	68020155	Energy		"Ketone bodies"	"Organic acids"	Energy	"Organic acids"
"Citric acid"	Citrate	HMDB00094	C00158	311	chebiId:30769	68019343	Energy	Energy	"Krebs cycle"	"Organic acids"	"Organic acids"	
"Fumaric acid"	Fumarate	HMDB00134	C00122	444972	chebiId:18012	67032005	Energy	Energy	"Krebs cycle"	"Organic acids"	Energy	"Organic acids"
"Glyceric acid"	Glycerate	HMDB00139	C00258	752	chebiId:32398	67042971	Energy	Carbohydrate	"Glycolysis; gluconeogenesis; pyruvate metabolism"	Carbohydrates	Energy	Carbohydrates
"Isocitric acid"	Isocitrate	HMDB00193	C00311	1198	chebiId:30887	67034219	Energy		NA	"Organic acids"	"Organic acids"	
"Lactic acid"	Lactate	HMDB00190	C00186	612	chebiId:422	68019344	Energy	Carbohydrate	"Glycolysis; gluconeogenesis; pyruvate metabolism"	"Organic acids"	Energy	"Organic acids"
"Malic acid"	Malate	HMDB00156	C00149	525	chebiId:6650	67030298	Energy	Energy	"Krebs cycle"	"Organic acids"	Energy	"Organic acids"
"Malonic acid"	Malonate	HMDB00691	C00383	867	chebiId:30794	67030290	Energy		NA	"Organic acids"	Energy	"Organic acids"
"Oxaloacetic acid"	Oxaloacetate	HMDB00223	C00036	970	chebiId:30744	68062907	Energy		NA	"Organic acids"	"Organic acids"	
"Phosphoenolpyruvic acid"	PEP	HMDB00263	C00074	1005	chebiId:44897	68010728	Energy	Carbohydrate	"Glycolysis; gluconeogenesis; pyruvate metabolism"	"Organic acids"	Energy	"Organic acids"
"Phosphoric acid"	Phosphate	HMDB01429	C00009	1004	chebiId:26078	67030242	Energy	Energy	"Oxidative phosphorylation"	Unclassified	Energy	Unclassified
"Pyruvic acid"	Pyruvate	HMDB00243	C00022	1060	chebiId:32816	68019289	Energy	Carbohydrate	"Glycolysis; gluconeogenesis; pyruvate metabolism"	"Organic acids"	"Organic acids"	
"Succinic acid"	Succinate	HMDB00254	C00042	1110	chebiId:15741	68019802	Energy	Energy	"Krebs cycle"	"Organic acids"	Energy	"Organic acids"
"2-hydroxy-2-methylbutyric acid"	2-OH-2-MeButyrate			95433		67521666	"Fatty Acyls"		NA	"Fatty Acyls"	"Fatty Acyls"	
"2-hydroxy-3-methylbutyric acid"	2-OH-3-MeButyrate			5289545		67521666	"Fatty Acyls"		NA	"Fatty Acyls"	"Fatty Acyls"	
"2-hydroxybutyric acid"	2-OHButyrate	HMDB00008	C05984	11266	chebiId:1148	67031570	"Fatty Acyls"		"Cysteine; methionine; SAM; taurine metabolism"	"Organic acids"	"Amino acids 2"	"Organic acids"
"2-methyl-4-oxovaleric acid"	2-Me-4-oxovalerate			225902			"Fatty Acyls"		NA			
"2-oxovaleric acid"	2-oxovalerate	HMDB01865	C06255	74563	chebiId:33033	67015963	"Fatty Acyls"		NA			
"3-methyl-2-oxovaleric acid"	3-Me-2-oxovalerate	HMDB00491	C03465	47	chebiId:35932	67016211	"Fatty Acyls"		NA	"Organic acids"	"Organic acids"	
"Acetic acid"	Acetate	HMDB00042	C00033	176	chebiId:15366	68019342	"Fatty Acyls"		NA	"Organic acids"	"Organic acids"	
"Acetoacetic acid"	Acetoacetate	HMDB00060	C00164	96	chebiId:13705;chebiId:15344	67016635	"Fatty Acyls"	Lipid	"Ketone bodies"	"Organic acids"	"Organic acids"	
"Arachidonic acid"	Arachidonate	HMDB01043	C00219	444899	chebiId:15843	68016718	"Fatty Acyls"	Steroids	"Long chain fatty acid"	"Fatty Acyls"	Lipids	"Fatty Acyls"
"Behenic acid"	Behenate	HMDB00944	C08281	8215	chebiId:28941	67007547	"Fatty Acyls"	Lipid	NA	"Fatty Acyls"	Lipids	"Fatty Acyls"
"Butanoic acid"	Butanoate	HMDB00039	C00246	264	chebiId:30772	68020148	"Fatty Acyls"		NA	"Fatty Acyls"	"Fatty Acyls"	
"Capric acid"	Caprate	HMDB00511	C01571	2969	chebiId:30813	67031071	"Fatty Acyls"	Lipid	"Medium chain fatty acid"	"Fatty Acyls"	Lipids	"Fatty Acyls"
"Caproic acid"	Caproate	HMDB00535	C01585	8892	chebiId:30776	67037652	"Fatty Acyls"	Lipid	"Medium chain fatty acid"	"Fatty Acyls"	Lipids	"Fatty Acyls"
"Caprylic acid"	Caprylate	HMDB00482	C06423	379	chebiId:28837	67031492	"Fatty Acyls"	Lipid	"Medium chain fatty acid"	"Fatty Acyls"	Lipids	"Fatty Acyls"
"Elaidic acid"	Elaidate	HMDB00573	C01712	637517	chebiId:27997	67011459	"Fatty Acyls"		NA	"Fatty Acyls"	"Fatty Acyls"	
"Heptanoic acid"	Heptanoate	HMDB00666	C17714	8094	chebiId:45571		"Fatty Acyls"		NA	"Fatty Acyls"	Lipids	"Fatty Acyls"
"Isobutyric acid"	Isobutyrate	HMDB01873	C02632	6590	chebiId:16135	67020380	"Fatty Acyls"		NA	"Organic acids"	"Organic acids"	
"Isocaproic acid"	Isocaproate	HMDB00689		12587	chebiId:74903	67034527	"Fatty Acyls"		NA	"Fatty Acyls"	"Fatty Acyls"	
"Isovaleric acid"	Isovalerate	HMDB00718	C08262	10430	chebiId:28484	67008216	"Fatty Acyls"	Lipid	"Fatty acid metabolism"	"Fatty Acyls"	"Fatty Acyls"	
"Lauric acid"	Laurate	HMDB00638	C02679	3893	chebiId:30805	67030358	"Fatty Acyls"	Lipid	"Medium chain fatty acid"	"Fatty Acyls"	Lipids	"Fatty Acyls"
"Linoleic acid"	Linoleate	HMDB00673	C01595	5280450	chebiId:17351	68019787	"Fatty Acyls"	Lipid	"Essential fatty acid"	"Fatty Acyls"	Lipids	"Fatty Acyls"
"Margaric acid"	Margarate	HMDB02259		10465		67013102	"Fatty Acyls"	Lipid	"Long chain fatty acid"	"Fatty Acyls"	Lipids	"Fatty Acyls"
"Myristic acid"	Myristate	HMDB00806	C06424	11005	chebiId:28875	68019814	"Fatty Acyls"	Lipid	"Long chain fatty acid"	"Fatty Acyls"	Lipids	"Fatty Acyls"
"Nonanoic acid"	Nonanoate	HMDB00847	C01601	8158	chebiId:29019	67008776	"Fatty Acyls"	Lipid	"Medium chain fatty acid"	"Fatty Acyls"	Lipids	"Fatty Acyls"
"Oleic acid"	Oleate	HMDB00207	C00712	445639	chebiId:16196	68019301	"Fatty Acyls"	Lipid	"Long chain fatty acid"	"Fatty Acyls"	Lipids	"Fatty Acyls"
"Palmitic acid"	Palmitate	HMDB00220	C00249	985	chebiId:15756	68019308	"Fatty Acyls"	Lipid	"Long chain fatty acid"	"Fatty Acyls"	Lipids	"Fatty Acyls"
"Palmitoleic acid"	Palmitoleate	HMDB03229	C08362	445638	chebiId:28716	67008757	"Fatty Acyls"	Lipid	"Long chain fatty acid"	"Fatty Acyls"	Lipids	"Fatty Acyls"
"Propionic acid"	Propionate	HMDB00237	C00163	1032	chebiId:30768	67029658	"Fatty Acyls"		NA	"Organic acids"	"Organic acids"	
"Stearic acid"	Stearate	HMDB00827	C01530	5281	chebiId:28842	67031183	"Fatty Acyls"	Lipid	"Long chain fatty acid"	"Fatty Acyls"	Lipids	"Fatty Acyls"
"Valeric acid"	Valerate	HMDB00892	C00803	7991	chebiId:17418	67038780	"Fatty Acyls"		NA	"Fatty Acyls"	"Fatty Acyls"	
"Sebacic acid"	Sebacate	HMDB00792	C08277	5192	chebiId:41865	67011107	"Fatty Acyls"		NA	"Fatty Acyls"	Lipids	"Fatty Acyls"
Glycerol-3-phosphate	Glycerol-3P	HMDB00126	C00093	439162	chebiId:15978	67029620	Lipids	Lipid	"Glycerolipid metabolism"	Lipids	Lipids	
O-phosphoethanolamine	OPEth	HMDB00224	C00346	1015	chebiId:17553	67005448	Lipids	Lipid	"Glycerolipid metabolism"	"Organic acids"	Lipids	"Organic acids"
N1-acetylspermidine	N1-AcSpd	HMDB01276	C00612	496	chebiId:17927	67017988	Polyamine		NA	"Amino acids"	Polyamine	"Amino acids"
N1-acetylspermine	N1-AcSpm	HMDB01186	C02567	916	chebiId:17312	67029452	Polyamine		NA	"Amino acids"	Polyamine	"Amino acids"
N1-acetyltriethylenetetramine	MAT			10313446			Polyamine		NA	"Amino acids"	Polyamine	"Amino acids"
N1,N10-diacetyltriethylenetetramine	DAT			76974421			Polyamine		NA	"Amino acids"	Polyamine	"Amino acids"
N1,N12-diacetylspermine	N1,N12-DiAcSpm	HMDB02172;HMDB41876	C03413	132680	chebiId:28101	67029453	Polyamine		NA	"Amino acids"	Polyamine	"Amino acids"
N1,N8-diacetylspermidine	N1,N8-DiAcSpd	HMDB41947		389613			Polyamine		NA	"Amino acids"	Polyamine	"Amino acids"
N8-acetylspermidine	N8-AcSpd	HMDB02189	C01029	123689	chebiId:27911	67030223	Polyamine		NA	"Amino acids"	Polyamine	"Amino acids"
N-acetylputrescine	NAcPutrescine	HMDB02064	C02714	122356	chebiId:17768	67026212	Polyamine		NA	"Organic acids"	Polyamine	"Organic acids"
Putrescine	Putrescine	HMDB01414	C00134	1045	chebiId:17148	68011700	Polyamine	"Amino acid"	"Polyamine metabolism"	Unclassified	Polyamine	Unclassified
S-adenosylhomocysteine	SAH	HMDB00939	C00021	439155	chebiId:16680	68012435	Polyamine	"Amino acid"	"Cysteine; methionine; SAM; taurine metabolism"	Nucleosides	Polyamine	Nucleosides
S-adenosylmethionine	SAM	HMDB01185	C00019	34756	chebiId:15414	68012436	Polyamine	"Amino acid"	"Cysteine; methionine; SAM; taurine metabolism"	Nucleosides	Polyamine	Nucleosides
Spermidine	Spermidine	HMDB01257	C00315	1102	chebiId:16610	68013095	Polyamine	"Amino acid"	"Polyamine metabolism"	Unclassified	Polyamine	Unclassified
Spermine	Spermine	HMDB01256	C00750	1103	chebiId:15746	68013096	Polyamine		NA	Unclassified	Polyamine	Unclassified
Triethylenetetramine	TETA		C07166	5565	chebiId:39501	68014266	Polyamine		NA	"Amino acids"	Polyamine	"Amino acids"
"12-dehydrocholic acid"	12-dehydroCA	HMDB00400	C01292	94235	chebiId:16312	67025576	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"7,12-dihydroxy-3-oxocholanoic acid"	3-dehydroCA			5283956		67017234	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Alpha-muricholic acid"	aMCA	HMDB00506	C17647	5283852	chebiId:81243	67004821	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Beta-muricholic acid"	bMCA	HMDB00415	C17726	5283853	chebiId:81298	67004821	Steroids	Steroids	"Bile acid metabolism"	Steroids	Steroids	
"Chenodeoxycholic acid"	CDCA	HMDB00518	C02528	10133	chebiId:16755	68002635	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
Cholesterol	Cholesterol	HMDB00067	C00187	5997	chebiId:16113	68002784	Steroids	Lipid	Sterol/Steroid	Steroids	Steroids	
